name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,output_type,gtex_tissue,histone_mark,transcription_factor
LQhCAGE UBERON:0012168,+,LQhCAGE,UBERON:0012168,umbilical cord blood,primary_cell,,fantom,,,OutputType.CAGE,,,
hCAGE CL:0000047,+,hCAGE,CL:0000047,neuronal stem cell,primary_cell,,fantom,,,OutputType.CAGE,,,
hCAGE CL:0000062,+,hCAGE,CL:0000062,osteoblast,primary_cell,,fantom,,,OutputType.CAGE,,,
hCAGE CL:0000077,+,hCAGE,CL:0000077,mesothelial cell,primary_cell,,fantom,,,OutputType.CAGE,,,
hCAGE CL:0000097,+,hCAGE,CL:0000097,mast cell,primary_cell,,fantom,,,OutputType.CAGE,,,
hCAGE CL:0000134,+,hCAGE,CL:0000134,mesenchymal cell,primary_cell,,fantom,,,OutputType.CAGE,,,
hCAGE CL:0000138,+,hCAGE,CL:0000138,chondrocyte,primary_cell,,fantom,,,OutputType.CAGE,,,
hCAGE CL:0000182,+,hCAGE,CL:0000182,hepatocyte,primary_cell,,fantom,,,OutputType.CAGE,,,
hCAGE CL:0000188,+,hCAGE,CL:0000188,cell of skeletal muscle,primary_cell,,fantom,,,OutputType.CAGE,,,
hCAGE CL:0000214,+,hCAGE,CL:0000214,synovial cell,primary_cell,,fantom,,,OutputType.CAGE,,,
hCAGE CL:0000216,+,hCAGE,CL:0000216,Sertoli cell,primary_cell,,fantom,,,OutputType.CAGE,,,
hCAGE CL:0000235,+,hCAGE,CL:0000235,macrophage,primary_cell,,fantom,,,OutputType.CAGE,,,
hCAGE CL:0000307,+,hCAGE,CL:0000307,tracheal epithelial cell,primary_cell,,fantom,,,OutputType.CAGE,,,
hCAGE CL:0000312,+,hCAGE,CL:0000312,keratinocyte,primary_cell,,fantom,,,OutputType.CAGE,,,
hCAGE CL:0000322,+,hCAGE,CL:0000322,pneumocyte,primary_cell,,fantom,,,OutputType.CAGE,,,
